cases,betweenness,betweenesss_norm
62003CJ0210,0.0038107182433522835,0.05225871766820267
62001CJ0491,0.0035049319998647203,0.048065283269552596
62010CJ0618,0.0031806523235131095,0.04361823707778608
61994CJ0178,0.0019855773651583355,0.02722944083184235
62011CJ0092,0.0017220095422856754,0.023614973541862788
62010CJ0453,0.0016455584512559797,0.02256655281736642
62007CJ0213,0.0016143737225472327,0.022138897496484893
62010CO0076,0.0014915099813106818,0.020453991619189767
62009CJ0324,0.0014504626458582298,0.019891084319972947
61984CJ0178,0.001439471260779958,0.019740352711675766
61993CJ0046,0.0012283151085860375,0.0168446388234459
62007CJ0261,0.0011655429772286074,0.01598380606684894
62012CJ0470,0.0011329964002773252,0.015537474885337275
62008CJ0304,0.001127751390074213,0.015465546841890492
62008CJ0040,0.0010989585297001897,0.015070692679221568
62008CJ0317,0.0010480586061051233,0.014372670792893992
62014CJ0169,0.0009896647762326352,0.013571880371247144
62002CJ0434,0.000967294221198987,0.013265099222673958
62006CJ0244,0.0009665559824088774,0.013254975301134663
62005CJ0429,0.0008793757811316757,0.012059419704036903
62005CJ0028,0.0008248027706860177,0.011311026523785747
62013CJ0034,0.0008232809168804304,0.011290156408684164
61992CJ0091,0.0008172123336211228,0.011206934202543005
62013CJ0026,0.0007994601725737977,0.010963487924720973
62011CJ0415,0.0007394860468508389,0.010141025936348863
62007CJ0378,0.0007023677738723298,0.009632000281854715
61995CJ0373,0.0006952287871856847,0.009534098976675497
62002CJ0014,0.0006854154849814586,0.00939952314174516
62003CJ0402,0.0006751885672996559,0.009259275143961118
62005CJ0313,0.0006750896422516125,0.009257918524073245
62001CJ0099,0.0006440895597546199,0.008832795369999225
61995CJ0261,0.00059573984795491,0.008169746102925292
62008CJ0484,0.0005740192056722926,0.007871877606717398
62009CJ0323,0.00056984493018331,0.007814633205447745
62007CJ0487,0.0005533281697096485,0.007588128733779671
62000CJ0469,0.0005392069638214869,0.007394475972143108
62008CJ0137,0.0005362673313771691,0.007354162988567405
62011CO0433,0.0005131871574884994,0.0070376504011870344
61998CJ0240,0.0004789629251858743,0.0065683125023712685
62000CJ0473,0.00046388432422770357,0.006361530394646783
62010CJ0070,0.0004630919078263777,0.006350663502279503
62010CJ0015,0.00042920501692975355,0.005885951773169343
62004CJ0356,0.0004291472603133522,0.005885159721247044
62010CJ0472,0.00042723474954011294,0.005858932287426541
62005CJ0222,0.0004124239725103674,0.005655823013579179
61989CJ0241,0.00038781006472944965,0.0053182773921787874
61999CJ0478,0.0003807480981344541,0.0052214323107787255
62012CJ0413,0.0003774808703128523,0.0051766268107697345
62011CJ0488,0.00036216556491955066,0.004966598629875736
62010CJ0602,0.0003563504138469641,0.00488685189482641
62007CJ0343,0.000351966061523488,0.004826726581014464
62009CJ0343,0.00035061998844171925,0.0048082670548441325
62005CJ0168,0.0003419528752947603,0.004689409613799934
62005CJ0381,0.0003113335318787609,0.004269507768379102
61997CJ0087,0.00030403304006887795,0.0041693916443394305
62011CJ0472,0.0002973545562945717,0.004077805498178669
62010CJ0544,0.0002949823010619363,0.004045273306470327
62012CJ0421,0.0002906235882257321,0.0039854996026806744
62014CJ0032,0.00028440318868895175,0.003900195446766471
62014CJ0110,0.000274136885865618,0.0037594073363684407
61988CJ0362,0.00026638022674606646,0.0036530355100902146
62014CJ0049,0.0002624332260159176,0.0035989078670526156
61999CJ0203,0.00025964391886209204,0.0035606563864305696
62014CO0019,0.00025844603169963647,0.0035442290247041197
62004CJ0033,0.00025306173937256074,0.0034703909200227844
62000CJ0052,0.00024889532269089495,0.0034132542914003215
62010CJ0122,0.000246844448129871,0.0033851293900528092
61996CJ0210,0.0002455286223644738,0.0033670846638927487
62000CJ0154,0.00024062031905022863,0.0032997740886287538
62008CJ0393,0.0002372076610314624,0.0032529742150847188
62008CJ0215,0.00023129381467881156,0.0031718740110968117
61980CJ0193,0.00023118219902374385,0.00317034335712739
62013CJ0280,0.0002306278302033774,0.0031627409573125724
62003CJ0350,0.000229537509800694,0.0031477887245698047
61998CJ0366,0.00022866576723345311,0.0031358339838118733
62008CJ0243,0.00022828107923843606,0.0031305585212774776
62009CJ0221,0.0002248583033735924,0.0030836198955015003
61998CJ0448,0.0002210508395137317,0.0030314058071911273
62016CO0091,0.00021883302386472198,0.0030009915402628637
62016CJ0186,0.00021220605312482878,0.002910111823953304
62011CJ0435,0.00020903566926382485,0.0028666344046030133
62000CO0345,0.00020691066228333991,0.002837492879897048
62008CJ0389,0.00020537229304703257,0.002816396278559524
62011CJ0397,0.000204807498960794,0.0028086509106764745
62004CJ0434,0.00020448519496268932,0.002804230958172857
62015CJ0042,0.00020261851350062983,0.0027786320098191156
62014CJ0484,0.00019921881610180314,0.002732009873209426
62001CJ0224,0.00019871954004036579,0.002725162994204749
62001CJ0216,0.00019819323661093152,0.0027179454723177425
62005CJ0315,0.0001961420776291884,0.0026898166705343765
62015CJ0154,0.00019397587620834068,0.0026601102211892902
62014CO0092,0.000192223180613108,0.0026360744309732727
62006CJ0445,0.00018936784957565193,0.0025969175243203135
62013CJ0497,0.00018835296052730028,0.002582999728026956
62014CJ0377,0.00018622248401923162,0.0025537831963329317
61993CJ0017,0.00018364796956927588,0.002518477299863769
61981CJ0261,0.00018184806347516585,0.0024937940831065448
62015CJ0168,0.00018133527372973007,0.0024867618826607033
62006CJ0251,0.00018050199039339692,0.0024753345569362107
61998CJ0352,0.00017922001602980745,0.002457754055821607
