node_id,indegree,outdegree,indeg_centr,outdeg_centr,indeg_centr_norm,outdeg_centr_norm
61995CJ0259,4,4,0.0024798512089274642,0.0024798512089274642,0.0015026296018031556,0.0015026296018031552
61981CJ0039,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61986CJ0031,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61988CJ0331,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
61995CJ0072,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
62016CJ0111,1,2,0.0006199628022318661,0.0012399256044637321,0.0003756574004507889,0.0007513148009015776
62010CJ0058,1,4,0.0006199628022318661,0.0024798512089274642,0.0003756574004507889,0.0015026296018031552
62011CJ0036,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62015CJ0282,0,8,0.0,0.0049597024178549285,0.0,0.0030052592036063103
61982CJ0174,4,0,0.0024798512089274642,0.0,0.0015026296018031556,0.0
61994CJ0134,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62001CJ0192,2,2,0.0012399256044637321,0.0012399256044637321,0.0007513148009015778,0.0007513148009015776
62001CJ0236,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
62007CJ0205,6,6,0.0037197768133911966,0.0037197768133911966,0.0022539444027047336,0.0022539444027047328
62008CJ0333,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62008CJ0446,1,1,0.0006199628022318661,0.0006199628022318661,0.0003756574004507889,0.0003756574004507888
62015CJ0268,1,2,0.0006199628022318661,0.0012399256044637321,0.0003756574004507889,0.0007513148009015776
62015CJ0177,0,1,0.0,0.0006199628022318661,0.0,0.0003756574004507888
62012CJ0299,1,1,0.0006199628022318661,0.0006199628022318661,0.0003756574004507889,0.0003756574004507888
62013CJ0137,0,3,0.0,0.0018598884066955983,0.0,0.0011269722013523664
62009CJ0266,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62010CJ0319,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62012CJ0335,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62011CJ0636,0,1,0.0,0.0006199628022318661,0.0,0.0003756574004507888
62009CJ0243,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61999CJ0006,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62007CJ0375,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
62008CJ0165,2,1,0.0012399256044637321,0.0006199628022318661,0.0007513148009015778,0.0003756574004507888
62008CJ0120,3,4,0.0018598884066955983,0.0024798512089274642,0.0011269722013523668,0.0015026296018031552
61973CJ0159,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62000CJ0074,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62005CJ0154,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
62007CJ0478,1,7,0.0006199628022318661,0.0043397396156230625,0.0003756574004507889,0.0026296018031555218
62007CJ0446,3,8,0.0018598884066955983,0.0049597024178549285,0.0011269722013523668,0.0030052592036063103
61993CJ0470,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
61996CJ0210,3,3,0.0018598884066955983,0.0018598884066955983,0.0011269722013523668,0.0011269722013523664
61997CJ0421,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61998CJ0220,4,0,0.0024798512089274642,0.0,0.0015026296018031556,0.0
61998CJ0366,5,7,0.00309981401115933,0.0043397396156230625,0.0018782870022539444,0.0026296018031555218
62002CJ0465,1,1,0.0006199628022318661,0.0006199628022318661,0.0003756574004507889,0.0003756574004507888
62004CJ0393,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62005CJ0132,2,3,0.0012399256044637321,0.0018598884066955983,0.0007513148009015778,0.0011269722013523664
62007CJ0343,4,22,0.0024798512089274642,0.013639181649101053,0.0015026296018031556,0.008264462809917354
61988CJ0011,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61991CJ0097,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61993CJ0280,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
61993CJ0306,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61994CJ0122,4,0,0.0024798512089274642,0.0,0.0015026296018031556,0.0
61995CJ0179,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61995CJ0241,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61996CJ0004,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61996CJ0180,2,0,0.0012399256044637321,0.0,0.0007513148009015778,0.0
61996CJ0289,2,1,0.0012399256044637321,0.0006199628022318661,0.0007513148009015778,0.0003756574004507888
61996CJ0404,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61997CJ0087,18,6,0.011159330440173589,0.0037197768133911966,0.0067618332081141996,0.0022539444027047328
61999CJ0120,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61999CJ0239,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
61999CJ0269,1,1,0.0006199628022318661,0.0006199628022318661,0.0003756574004507889,0.0003756574004507888
62001CJ0189,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62001CJ0304,3,0,0.0018598884066955983,0.0,0.0011269722013523668,0.0
62001CJ0486,1,0,0.0006199628022318661,0.0,0.0003756574004507889,0.0
62003CJ0535,1,1,0.0006199628022318661,0.0006199628022318661,0.0003756574004507889,0.0003756574004507888
